Variable,2026,2030,2035
Pct_Female,25.32914799351751,25.219449058627816,25.082325390015697
Pct_Aggregate bands: 15-24,7.078930666007978,6.387211456144143,5.522562443814419
Pct_Aggregate bands: 25-54,68.89559229539742,67.99793658281516,66.87586694208734
Pct_Aggregate bands: 55-64,19.969169048498884,21.114105583779633,22.5452762528805
Pct_Aggregate bands: 65+,4.056307990095718,4.500746377261066,5.056294361217735
White British,74.76952299531399,72.02190533205317,68.5873832529769
White Irish,,,
White Other,15.406412235728453,17.36715793207759,19.818090052514094
Indian,3.1387063786925324,3.34410754532594,3.6008590036176997
Pakistani/ Bangladeshi,1.422304529719554,1.5284768346753665,1.6611922158701304
Other Asian,1.0958465640110049,1.1684945387349472,1.2593045071398734
Black,1.6901701750087028,1.8243914410213193,1.9921680235371042
Mixed,0.9961777379525003,1.1186949559897599,1.2718414785363379
Other,1.3159923296347245,1.4156473297948438,1.5402160799949982
