Year,White British,White Irish,White Other,Indian,Pakistani/ Bangladeshi,Other Asian,Black,Mixed,Other
2004,90.78141692,,3.767685453,1.883842726,0.935407384,0.549779828,1.008363949,0.422105839,0.648792308
2005,90.09713401,,4.269626941,2.02540428,0.851256871,0.589742221,1.075412286,0.373592357,0.71783103
2006,88.15371122,,5.517487118,2.05295472,0.926433505,0.794868984,1.066220809,0.539962723,0.948360925
2007,86.27230305,,6.544057096,2.349711776,0.949766676,0.842712051,1.320340379,0.472138348,1.248970629
2008,86.02815761,,7.293804747,1.934029083,1.124569975,0.913532422,1.199734035,0.433638808,1.069642393
2009,86.42849402,,6.989849366,2.239641657,0.92114294,0.993389445,1.13427013,0.549073439,0.747751328
2010,85.80677469,,7.865650821,2.317845262,0.890653504,0.772615087,0.869191973,0.522230568,0.958615016
2011,91.86583651,,0.522193211,3.394255875,0.98413336,0.863627234,1.385820446,0.321349669,0.662783692
2012,84.75713051,,9.061365601,2.143474503,0.916162489,0.705272256,1.099394987,0.363007779,0.950734659
2013,83.47994067,,9.589844424,2.259477733,1.241850357,0.907240677,1.169409086,0.4622443,0.886543172
2014,82.49771489,,10.57923423,2.471309117,1.066386811,0.832797319,1.076542876,0.531500728,0.941128677
2015,81.03848093,,11.53419593,2.628129726,1.078810284,0.994790791,1.058645606,0.578054109,1.092253403
2016,79.65574946,,12.36296575,2.800450804,1.188484,0.966497046,1.273863598,0.747925276,1.004064069
2017,79.15635279,,12.95988607,2.410905022,1.098640263,1.085076803,1.458071954,0.759553762,1.068122478
2018,79.72663568,,12.19385277,2.428363283,1.141330743,0.849927149,1.509054326,0.953999861,1.193367099
2019,78.80431052,,12.35500034,2.659757018,1.41396115,1.008991695,1.681652824,0.864850024,1.1943167
2020,81.54870819,0.446461246,8.958501061,3.019102686,1.467466881,0.940496231,1.588230989,0.761179829,1.269852887
2021,81.17244491,0.537715274,8.975708806,3.000676844,1.304805595,1.034067835,1.793637663,0.988944875,1.304805595
